epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,260.8918918918919,-80.65855256779118,1000.0,992.7288379462982,1:05:25
2,303.61764705882354,7.897004465943961,912.7,661.4374065022937,7:10:17
3,473.85714285714283,14.421410124631077,901.4,423.1555377458561,9:11:07
4,384.3076923076923,69.27598274151572,864.3,812.8244163214091,10:10:15
5,513.1666666666666,130.40115165568454,661.9,771.6418139001781,10:43:33
6,516.6,92.54010839301371,838.3,726.9405363864868,11:06:19
7,518.5,71.60072931110953,721.8,518.3354742421567,11:21:29
8,460.8636363636364,0.49283478475678294,814.5,367.80007381416044,11:32:50
9,543.0,77.6068137526666,1000.0,316.8713085222977,11:42:02
10,619.25,91.8145483449282,1000.0,-21.81634073080513,11:49:04
11,623.625,169.82840459067302,1000.0,581.1029395520379,11:54:26
12,592.8235294117648,339.20270824110355,1000.0,614.651540547467,11:58:48
13,750.6153846153846,502.9590894378394,1000.0,1458.0780266794543,12:02:15
14,735.6923076923077,185.11127183088257,795.0,1059.9708719225478,12:04:44
15,695.9333333333333,507.28846657912624,819.9,733.2651527748957,12:06:53
16,570.5555555555555,260.9774672244495,926.1,1449.6733694069205,12:08:51
17,584.8823529411765,331.8721335069524,911.4,1664.7919443324013,12:10:27
18,794.8333333333334,753.4077665515225,754.4,1012.4735516971004,12:11:30
19,588.8823529411765,488.0143100573364,764.9,1503.7799013300107,12:12:20
20,715.3571428571429,897.9883092212015,825.0,1695.7656212926045,12:13:09
21,879.5,828.5991811692879,973.0,1807.5001894670763,12:14:07
22,739.0,570.0306034011435,902.6,1790.9480733562712,12:14:48
23,616.1764705882352,709.8985762773226,940.4,1868.5673222850692,12:15:23
24,772.5833333333334,841.1216999824957,744.5,1379.5457461960746,12:15:31
25,654.125,777.9338600944919,936.4,2262.4802345438775,12:15:41
26,800.9166666666666,1270.56936341902,629.4,1578.6448972311696,12:15:13
27,667.75,949.9151115322395,599.4,1348.460097719814,12:14:36
28,755.9230769230769,1257.9346296297954,665.7,1836.2520649360808,12:14:06
29,633.75,1093.6870702492683,619.6,975.4887940081626,12:13:38
30,760.9230769230769,1298.5259124592876,921.1,2498.588616789182,12:13:35
31,863.7272727272727,1745.186589936995,1000.0,3255.1698162788534,12:13:37
32,705.1428571428571,1683.0136764136328,973.9,2693.449582004581,12:13:33
33,638.875,1554.4693964146727,921.4,3235.5197794813525,12:13:23
34,749.5714285714286,1661.7612193750113,694.7,1653.6058221209546,12:12:56
35,686.9285714285714,1824.8583102733094,159.3,486.91993066632193,12:11:55
36,895.1818181818181,2339.3992111757975,1000.0,3603.25961762074,12:11:40
37,614.2352941176471,1594.5271373376993,419.1,1355.111164800685,12:10:54
38,545.7222222222222,1499.0577750105872,948.5,3996.363826290593,12:10:33
39,592.0,1667.636888062993,310.7,1007.778189059559,12:09:41
40,725.0666666666667,2273.3303019510086,1000.0,4256.744768138848,12:09:19
41,659.0,2305.427399199585,703.1,2868.9988163230328,12:08:39
42,667.7333333333333,2255.703696944637,929.8,3984.873747905108,12:08:07
43,551.5,1793.5078562105562,746.1,2870.9056113761676,12:07:25
44,758.4615384615385,2511.587279597131,1000.0,4098.337479899443,12:06:54
45,751.1538461538462,2852.0152716696225,1000.0,4167.098779047951,12:06:18
46,664.0,2547.3887246968875,1000.0,2690.3195792937186,12:05:42
47,624.3125,2425.9506325673237,897.5,3579.5180523621048,12:05:02
48,648.6,2310.953686308651,784.8,3441.1019287927834,12:04:20
49,712.2142857142857,2409.114452090579,912.5,3856.0762411496444,12:03:46
50,602.8823529411765,2233.884724011108,832.2,3823.071017551572,12:03:13
51,785.9230769230769,3229.29003803553,1000.0,4424.515465959563,12:02:49
52,633.3333333333334,2653.1312824784627,804.3,3522.0207261056553,12:02:21
53,682.1875,2954.4109605534695,840.8,4177.833491305146,12:01:58
54,966.3,4222.624086172116,1000.0,4326.298141791178,12:01:43
55,723.7142857142857,2859.861211810608,780.8,3681.4359533304187,12:01:23
56,685.7857142857143,2828.4136411678824,649.7,2867.6510105796965,12:01:01
57,839.5,3682.2120102621434,845.9,3765.5993427571725,12:00:46
58,789.0,3305.2261143715905,734.7,3233.173185165321,12:00:31
59,781.3846153846154,3313.6721891892425,912.7,4404.0472423517285,12:00:20
60,702.6428571428571,3118.9266933873687,1000.0,4969.60644499013,12:00:11
61,957.3,4364.881096713508,924.8,4087.727245621194,11:59:58
62,815.25,3297.944301455987,862.9,4473.168795081603,11:59:42
63,906.4166666666666,4199.147870594433,712.2,3445.4561766005863,11:59:19
64,828.3636363636364,3863.585335375008,704.6,3255.0411492321027,11:58:54
65,838.0,3815.4154748602177,923.5,3772.3546489182772,11:58:33
66,914.7272727272727,4276.082431289435,1000.0,4930.867645750111,11:58:13
67,833.5,3986.9060909834807,1000.0,5141.159589190133,11:57:51
68,940.5454545454545,4486.702749183376,919.0,4458.040804926511,11:57:26
69,878.6363636363636,4193.500763095392,782.2,3964.4357468113403,11:56:57
70,910.5454545454545,4241.073861720084,904.0,4677.2851659932085,11:56:30
71,897.6666666666666,4265.609399289625,1000.0,5204.918911414379,11:56:04
72,708.6153846153846,3362.9491860620296,945.3,4917.55145163969,11:55:34
73,950.0909090909091,4627.353766348998,781.2,3943.7284046154905,11:55:01
74,859.8333333333334,3816.9427318050307,911.6,4558.641332960551,11:54:29
75,857.1818181818181,3992.407642546311,1000.0,5029.844402037229,11:53:57
76,881.0,4235.355619639967,915.2,4799.109085458571,11:53:22
77,908.7272727272727,4342.902460252385,976.1,5058.568891201393,11:52:46
78,797.9166666666666,3877.6207899253127,974.7,5149.825044177814,11:52:09
79,910.1818181818181,4431.671403149651,966.1,5184.157716721929,11:51:29
80,914.1818181818181,4506.513811479836,939.7,5080.325562095086,11:50:47
81,910.9090909090909,4460.238234501319,1000.0,5166.812320747984,11:50:03
82,990.8,4968.9313180355875,847.2,3967.8789578906835,11:49:15
83,912.3636363636364,4421.316761356076,885.3,4675.3891657742815,11:48:25
84,1000.0,4907.052886956079,1000.0,5188.643398554074,11:47:36
85,945.9090909090909,4730.826877435773,1000.0,5256.3315936621975,11:46:46
86,896.2727272727273,4429.631841762887,885.1,4712.115595030032,11:45:53
87,928.1,4647.02864869341,915.8,4928.448621446421,11:44:59
88,1000.0,4969.414209800473,904.4,4755.005434784439,11:44:03
89,944.6363636363636,1325.2842944381896,903.6,-2327.1607913631556,11:43:08
90,272.02777777777777,-645.393996555997,216.5,-567.6496409547298,11:41:58
91,465.5652173913044,-722.2742746390342,1000.0,-809.6075987261396,11:41:02
92,868.9090909090909,-1316.972722225291,341.8,-637.301246381621,11:39:52
93,774.2307692307693,-1143.5244779540508,922.2,-753.8512472990835,11:38:51
94,1000.0,-1189.4305906535164,708.6,-1168.7109525682843,11:37:45
95,927.8181818181819,-1097.2339323566493,1000.0,-326.68380272329586,11:36:42
96,840.0833333333334,-1155.4792892331982,1000.0,-1509.8544646966388,11:35:38
97,761.25,-1194.0697074405673,809.0,-1623.1982303783611,11:34:29
98,752.7857142857143,-1063.6442746982805,866.6,-1140.1778879360406,11:33:21
99,874.0,-848.5208934862737,1000.0,-466.8128065587865,11:32:11
100,975.4545454545455,481.7020662037496,905.8,-407.2280673506476,11:30:58
101,836.5454545454545,-35.497281745509305,837.0,180.23214114553556,11:29:43
102,915.9090909090909,161.57483822160327,1000.0,-1882.772066806773,11:28:25
103,825.75,-442.4162231862661,824.8,1014.7147469226486,11:27:00
104,927.4545454545455,534.1969165282044,885.3,1402.3157257697183,11:25:33
105,881.3333333333334,1983.7588655849995,903.3,2130.0343666997874,11:24:03
106,849.7272727272727,2307.6472496329425,833.2,3046.202615671071,11:22:27
107,899.25,3519.868434575686,951.5,4493.168461179963,11:20:51
108,910.1,3737.715552533912,918.1,4074.537142905398,11:19:11
109,805.8461538461538,2728.0243500300694,1000.0,4769.856258612936,11:17:28
110,909.8181818181819,4042.870689441898,1000.0,4963.45222858871,11:15:43
111,993.2,4562.760170488478,982.5,4848.008445898185,11:13:54
112,857.0833333333334,3997.2001222682516,969.4,4852.525988753279,11:12:02
113,1000.0,4735.4719552266115,1000.0,4864.4190794082615,11:10:07
114,744.0,3527.5004623052446,964.5,5049.064135557312,11:08:10
115,978.3,4737.749474188631,1000.0,4937.238080466826,11:06:09
116,733.0714285714286,3510.3968267409045,1000.0,4803.231847920766,11:04:07
117,807.1538461538462,3879.886111770124,1000.0,5340.83296074839,11:02:02
118,871.5454545454545,4294.948136936971,1000.0,5353.948356283428,10:59:54
119,1000.0,4956.614111910621,758.9,4136.572438171552,10:57:42
120,804.0833333333334,4043.1930058694866,1000.0,5518.581112388773,10:55:29
121,894.4545454545455,4473.814235302755,1000.0,5560.465457151264,10:53:15
122,932.4545454545455,4777.247137372089,1000.0,5521.449260821363,10:50:57
123,1000.0,5109.922209926478,759.2,4041.9288435322246,10:48:35
124,1000.0,4987.594392761743,1000.0,5193.9633811141075,10:46:14
125,927.9090909090909,4687.285054508989,963.1,5017.441137764875,10:43:49
126,874.0909090909091,4464.988428913478,1000.0,5592.990047644113,10:41:23
127,833.25,4210.95461959709,1000.0,5498.2250463452,10:38:55
128,1000.0,5103.241887450873,1000.0,5290.281164088401,10:36:26
129,915.7272727272727,4696.061269355471,1000.0,5391.288534632853,10:33:55
130,913.6363636363636,4267.644388010379,1000.0,5371.406256681412,10:31:21
131,1000.0,5135.618626488508,1000.0,5545.614369030923,10:28:46
132,844.0833333333334,4410.946709044864,913.4,5132.153565673421,10:26:07
133,993.2,5165.272551675739,1000.0,5595.9636118772505,10:23:28
134,981.4,5139.920725858888,1000.0,5517.494714204049,10:20:48
135,939.0,4969.423139508311,1000.0,5585.168608349654,10:18:05
136,1000.0,5240.900401842904,1000.0,5509.9802018678,10:15:21
137,1000.0,5215.046391346977,909.1,5119.265862902814,10:12:34
138,1000.0,5184.3549677572455,1000.0,5437.349286783332,10:09:46
139,1000.0,5295.522550656982,959.4,5421.891738699494,10:06:56
140,1000.0,5161.237155916812,908.4,5171.532011880079,10:04:05
141,1000.0,5226.015048154663,1000.0,5598.769148799712,10:01:13
142,1000.0,5240.185451190929,1000.0,5797.371113998935,9:58:20
143,1000.0,5164.256470540812,1000.0,5660.666100222613,9:55:25
144,878.0909090909091,4612.734901206523,1000.0,5675.424509181119,9:52:29
145,949.4545454545455,4965.409421780488,1000.0,5608.9814474898,9:49:31
146,1000.0,5244.562379556605,927.5,5263.086155141495,9:46:32
147,1000.0,5202.752481733822,931.3,5312.1697824374805,9:43:31
148,1000.0,5217.299396120964,1000.0,5724.731560402625,9:40:30
149,873.8181818181819,4598.055074053049,980.5,5615.5203988492285,9:37:28
150,983.0,5190.592626399597,1000.0,5824.194587728165,9:34:24
151,936.3636363636364,4986.437538358775,1000.0,5555.125941274458,9:31:20
152,841.0833333333334,4391.992086028427,1000.0,5478.251457071903,9:28:14
153,981.9,5231.517869682002,1000.0,5555.364519207638,9:25:07
154,1000.0,5213.826850426451,1000.0,5657.257831656922,9:21:58
155,977.4545454545455,5124.2845634171035,1000.0,5725.770249145881,9:18:49
156,808.0833333333334,4258.752628251766,1000.0,5597.748826070594,9:15:39
157,922.7272727272727,4831.417646104248,1000.0,5591.360698355642,9:12:27
158,918.3636363636364,4913.815610357465,1000.0,5642.447619102402,9:09:14
159,955.8,5147.161719332901,961.1,5224.080295635354,9:06:01
160,913.6363636363636,4893.771948856183,1000.0,5752.1150528994995,9:02:46
161,1000.0,5272.0018698941585,997.5,5921.681321190388,8:59:30
162,947.4,5087.318339808173,1000.0,5797.592678543067,8:56:14
163,1000.0,5281.588658463055,933.5,5367.493322316453,8:52:56
164,932.5454545454545,5071.805570282036,1000.0,5766.228663009337,8:49:38
165,1000.0,5335.581518239548,1000.0,5808.641280688915,8:46:26
166,954.2727272727273,5113.994304671955,1000.0,5716.714438332644,8:43:15
167,944.4,5038.473643512996,1000.0,5951.30131491557,8:40:03
168,954.2727272727273,5122.938230103556,1000.0,5606.525568942821,8:36:49
169,966.6,5150.401914097658,1000.0,5985.219706818718,8:33:34
170,962.2,5166.203725433412,934.4,5437.870757285107,8:30:09
171,1000.0,5290.241745773085,1000.0,5365.217801423103,8:26:43
172,1000.0,5348.947997227249,1000.0,5622.866253621369,8:23:17
173,980.3636363636364,5275.864665210992,915.1,5489.690931108044,8:19:49
174,989.8,5320.167086904952,1000.0,5740.147886139967,8:16:21
175,966.3,5253.33895183162,1000.0,5915.551042040674,8:12:53
176,1000.0,5424.421506614703,1000.0,5748.7713970428285,8:09:23
177,1000.0,5438.565914116513,930.9,5416.009957295233,8:05:53
178,857.25,4644.354212634865,985.8,5655.3538243091325,8:02:22
179,1000.0,5431.459019900181,1000.0,5877.951609194453,7:58:50
180,1000.0,5430.068394916712,1000.0,6051.161818702063,7:55:18
181,844.4166666666666,4616.774916105647,1000.0,5942.9764348031695,7:51:45
182,1000.0,5420.854918754047,1000.0,5833.52565265223,7:48:11
183,882.2727272727273,4800.602008990409,1000.0,5667.465358997452,7:44:37
184,978.3,5349.33470552887,1000.0,5884.406967737669,7:41:03
185,1000.0,5412.013135631229,1000.0,5962.547519663229,7:37:28
186,914.4545454545455,4991.266839272203,901.3,5269.4017558759815,7:33:51
187,995.3,5417.541201689644,1000.0,5850.627775843435,7:30:15
188,1000.0,5050.350158366549,867.5,5018.7392270027485,7:26:37
189,855.4166666666666,4588.682423890225,1000.0,5930.07409430464,7:22:59
190,871.8181818181819,4802.446875600405,984.4,5631.157993250407,7:19:20
191,906.1666666666666,4985.0519010367325,1000.0,5874.963313770555,7:15:42
192,964.6,5328.149574846915,1000.0,5885.855560227897,7:12:02
193,1000.0,5432.459665550586,1000.0,5941.539363164853,7:08:21
194,921.2727272727273,4998.234667850534,967.6,5737.941164712062,7:04:40
195,945.8,5234.002182971844,780.2,4249.466321508924,7:00:58
196,1000.0,5411.179124534652,1000.0,5860.668870357791,6:57:16
197,1000.0,4890.278983584271,950.9,5666.945794204755,6:53:34
198,863.4166666666666,4767.231815563928,992.5,5812.400503152412,6:49:51
199,953.3,5232.071105441175,1000.0,6007.539608776423,6:46:07
200,1000.0,5444.459364930016,1000.0,5876.907649237954,6:42:23
201,1000.0,5523.480939163713,933.5,5602.261603756441,6:38:38
202,965.7272727272727,5374.829381415918,960.0,5734.088580569167,6:34:53
203,849.3636363636364,4670.479101232013,1000.0,6061.289032628384,6:31:08
204,884.3333333333334,4827.390029861636,1000.0,5837.25773076411,6:27:22
205,841.4166666666666,4625.601996789577,1000.0,6063.857669661998,6:23:35
206,1000.0,5556.0675425330355,1000.0,6200.915628110059,6:19:48
207,913.1818181818181,4995.15422242709,1000.0,6014.599836247141,6:16:01
208,1000.0,5528.89977999112,1000.0,6027.043026473012,6:12:13
209,939.6,5141.941506746023,1000.0,5813.813732657781,6:08:25
210,860.0,4632.142736001595,1000.0,6240.515084483213,6:04:36
211,946.3636363636364,5166.358283628159,1000.0,6114.441431363326,6:00:47
