epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,10000,176.76470588235293,-58.738942317565495,1000.0,993.1680285181122,1:04:25
2,20000,402.7037037037037,-7.73667948586098,1000.0,776.5346956575011,7:10:25
3,30000,436.8695652173913,11.684194729697822,730.1,393.56551662298887,9:07:16
4,40000,458.2,42.77719298076828,719.0,437.2290688072916,10:04:17
5,50000,360.6666666666667,100.36450430066083,1000.0,715.9395639099936,10:40:00
6,60000,367.0,136.68709100394784,719.2,533.9579738554008,11:01:20
7,70000,349.60714285714283,180.56637665735533,617.7,620.6766985171574,11:15:35
8,80000,633.6875,217.51070633244427,635.7,626.3999903567577,11:26:13
9,90000,560.8333333333334,380.22514793092984,894.8,949.4585710375131,11:35:20
10,100000,538.5555555555555,328.0428191493015,192.5,334.62060979418123,11:39:35
11,110000,575.7222222222222,257.11713859461065,920.5,1049.5511073624104,11:45:31
12,120000,588.5882352941177,457.5280296505044,816.3,1439.2403211113322,11:49:43
13,130000,569.6470588235294,414.91616471290683,1000.0,1264.7414950248508,11:53:42
14,140000,700.5,693.720770253164,672.5,1211.6431168939748,11:56:30
15,150000,702.6,609.4201023675834,717.8,1506.1510531154472,11:58:40
16,160000,643.4,685.9491515359304,1000.0,2237.628487753712,12:01:05
17,170000,799.8333333333334,973.3416240355044,966.9,2575.779152379604,12:03:03
18,180000,748.1428571428571,1199.2132239766322,914.9,2425.1066130488634,12:04:39
19,190000,703.6428571428571,1028.214677951633,1000.0,2070.0218239918677,12:06:13
20,200000,815.25,1678.62608319066,1000.0,3243.997179750705,12:07:33
21,210000,752.3076923076923,1235.7672449987099,1000.0,3317.801029261723,12:08:43
22,220000,907.5,1665.3287276176661,959.0,3080.5603525027786,12:09:40
23,230000,722.7692307692307,1631.0668916710858,769.3,2149.8170545054577,12:10:11
24,240000,551.4444444444445,1510.8428558781684,288.4,762.8077122386482,12:09:51
25,250000,684.2,1856.4440380818853,851.9,3264.5556198008194,12:10:14
26,260000,454.04761904761904,1392.2797001568822,719.0,2885.1523091882186,12:10:12
27,270000,424.28,1222.5226237953407,1000.0,3551.1961602067013,12:10:24
28,280000,725.5,2443.2568040988967,901.8,2612.9980133855415,12:10:17
29,290000,626.75,2102.967769281493,914.1,3292.658685774626,12:10:06
30,300000,628.875,2393.8024198091284,501.5,1497.7163893634463,12:09:23
31,310000,537.8333333333334,1746.244674521981,832.3,3326.1269500168773,12:09:07
32,320000,863.5833333333334,2901.0555965405388,568.3,1996.0018522229948,12:08:34
33,330000,583.125,1950.7536457831416,838.6,3242.798082085906,12:08:17
