epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,10000,1000.0,-280.35346366186525,1000.0,-0.9653714187264703,0:34:35
2,20000,1000.0,-109.80874131173854,1000.0,111.47095061384883,6:27:24
3,30000,1000.0,493.70218574924945,1000.0,2388.2852584679604,8:23:37
4,40000,1000.0,2201.436907448374,1000.0,3499.4513874450945,9:21:46
5,50000,1000.0,3432.7409554199876,1000.0,4424.4481101062465,9:55:35
6,60000,1000.0,4273.117834340551,1000.0,4831.606971221096,10:17:43
7,70000,1000.0,4745.726151288872,1000.0,5659.378946875137,10:33:18
8,80000,1000.0,5195.109714507498,1000.0,5849.106665144871,10:44:41
9,90000,1000.0,5506.019537871054,1000.0,5885.90989711544,10:53:04
10,100000,1000.0,5767.316409042219,1000.0,6508.220027358418,10:59:41
11,110000,1000.0,5966.865361035092,1000.0,6373.365172296341,11:04:36
12,120000,1000.0,6263.455607285813,1000.0,6936.914179085621,11:08:42
13,130000,1000.0,6351.343720466623,1000.0,7034.149150149538,11:12:04
14,140000,1000.0,6520.622929102172,1000.0,6565.825275677807,11:14:41
15,150000,1000.0,6620.007782284252,1000.0,7598.252795457194,11:16:49
16,160000,1000.0,6888.53106889363,1000.0,7016.053776943566,11:18:25
17,170000,1000.0,6978.979667409268,1000.0,7346.739572621448,11:19:44
18,180000,1000.0,7134.148722503334,1000.0,7706.172759923051,11:20:48
19,190000,1000.0,7186.785682738686,1000.0,7571.949786468009,11:21:43
20,200000,1000.0,7292.6399949274655,1000.0,7589.978099522385,11:22:33
21,210000,1000.0,7531.60290316821,1000.0,8068.024356871296,11:23:16
22,220000,1000.0,7574.17577994139,1000.0,8210.116860272794,11:23:54
23,230000,1000.0,7750.9558599492275,1000.0,7579.929373138819,11:24:25
24,240000,1000.0,7748.836516580006,1000.0,8145.463969055252,11:24:57
25,250000,1000.0,7999.347148443939,1000.0,8671.220906358196,11:25:26
26,260000,1000.0,7059.874679971193,1000.0,8383.58136597915,11:25:52
27,270000,1000.0,7352.201718923716,1000.0,8662.53555488521,11:26:20
28,280000,1000.0,8244.820341416755,1000.0,8750.886603064335,11:26:44
29,290000,1000.0,8334.383358097639,1000.0,8825.146727686755,11:27:01
30,300000,1000.0,8362.15994334216,1000.0,9096.495933150112,11:27:14
31,310000,1000.0,8362.796035724357,1000.0,8765.714882565353,11:27:20
