epoch,test_mean_ep_len,test_mean_ep_ret,time_left
1,200.0,-1185.1109999800333,0:01:14
2,200.0,-1282.8262152566974,0:07:59
3,200.0,-857.0864787585645,0:09:59
4,200.0,-359.36842105002955,0:10:55
5,200.0,-397.67392065959586,0:11:46
6,200.0,-107.93666976445093,0:12:09
7,200.0,-152.98476775440068,0:12:27
8,200.0,-118.11364631661718,0:12:30
9,200.0,-141.66644184075005,0:12:29
10,200.0,-157.7417247039793,0:12:26
11,200.0,-140.70050857132804,0:12:26
12,200.0,-149.8789080542057,0:12:22
13,200.0,-108.33849379099055,0:12:18
14,200.0,-134.5358295461162,0:12:20
15,200.0,-147.7289131883095,0:12:16
16,200.0,-88.92531303344597,0:12:09
17,200.0,-160.4080176150386,0:12:05
18,200.0,-158.32187259788563,0:11:58
19,200.0,-143.51143265162085,0:11:51
20,200.0,-122.82997947705329,0:11:43
21,200.0,-144.64089618809618,0:11:35
22,200.0,-104.42678056413133,0:11:27
23,200.0,-148.32662778304172,0:11:20
24,200.0,-122.91209865290969,0:11:12
25,200.0,-141.07753491648165,0:11:04
26,200.0,-157.75993287893715,0:10:57
27,200.0,-151.8012311950799,0:10:52
28,200.0,-120.43651586067695,0:10:45
29,200.0,-120.09934226923156,0:10:37
30,200.0,-131.67791798947795,0:10:28
31,200.0,-155.34683480379152,0:10:19
32,200.0,-176.2058004439821,0:10:10
33,200.0,-177.64268864733168,0:10:01
34,200.0,-141.85728320001562,0:09:52
35,200.0,-111.20257964030154,0:09:43
36,200.0,-171.99977755402352,0:09:34
37,200.0,-125.76025156882261,0:09:27
38,200.0,-145.6914098148672,0:09:18
39,200.0,-102.37161242027867,0:09:10
40,200.0,-152.3728795480194,0:09:00
41,200.0,-118.5314584608777,0:08:51
42,200.0,-162.01776745012293,0:08:43
43,200.0,-160.98010160204927,0:08:34
44,200.0,-128.4996942336052,0:08:25
45,200.0,-146.60620333336564,0:08:16
46,200.0,-118.8839641891509,0:08:07
47,200.0,-157.14638222284356,0:07:58
48,200.0,-118.77197751235164,0:07:49
49,200.0,-156.86760971726486,0:07:40
50,200.0,-133.49672294636744,0:07:31
51,200.0,-129.89715874516568,0:07:22
52,200.0,-146.3084173413891,0:07:13
53,200.0,-167.2867934093637,0:07:04
54,200.0,-191.02388722452645,0:06:56
55,200.0,-141.4189129451054,0:06:47
56,200.0,-174.32811143209562,0:06:38
57,200.0,-153.63329949062773,0:06:29
58,200.0,-176.4243659944131,0:06:20
59,200.0,-164.37672374267544,0:06:11
60,200.0,-121.82089235636829,0:06:03
61,200.0,-176.67420022828267,0:05:54
62,200.0,-156.03945849253728,0:05:45
63,200.0,-130.83314177115662,0:05:36
64,200.0,-132.10833067267217,0:05:27
65,200.0,-129.24921682818106,0:05:19
66,200.0,-141.83167031439416,0:05:10
67,200.0,-128.15140384922967,0:05:01
68,200.0,-132.61099227680657,0:04:52
69,200.0,-193.74307646885558,0:04:44
70,200.0,-132.17607474469168,0:04:35
71,200.0,-141.55061697451555,0:04:26
72,200.0,-221.972936343953,0:04:17
73,200.0,-191.50925259551292,0:04:08
74,200.0,-141.6184941774029,0:04:00
75,200.0,-166.78182609933972,0:03:51
76,200.0,-158.14234018085,0:03:43
77,200.0,-129.88675659431254,0:03:35
78,200.0,-119.43809824988742,0:03:26
79,200.0,-160.47176279822054,0:03:17
80,200.0,-167.93646734081355,0:03:08
81,200.0,-111.31973287188444,0:02:59
82,200.0,-156.37672482693264,0:02:50
83,200.0,-168.6633638949723,0:02:41
84,200.0,-151.73571389283558,0:02:31
85,200.0,-123.51121922139491,0:02:22
86,200.0,-152.11382926206568,0:02:12
87,200.0,-135.32977579389504,0:02:03
88,200.0,-92.20804098057921,0:01:54
89,200.0,-114.78443210156658,0:01:44
90,200.0,-127.51012414052846,0:01:35
91,200.0,-198.01123062015924,0:01:25
92,200.0,-123.83286078480039,0:01:16
93,200.0,-134.47291215008738,0:01:06
94,200.0,-145.31783976888448,0:00:57
95,200.0,-135.99034209300504,0:00:47
96,200.0,-140.15859803519083,0:00:38
97,200.0,-97.66740113790915,0:00:28
98,200.0,-153.19352581404604,0:00:19
99,200.0,-139.26598287119185,0:00:09
100,200.0,-157.76363360165033,0:00:00
