epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1493.4318481805744
2,200.0,-1418.738552933677
3,200.0,-1011.5386899233035
4,200.0,-213.8944048983413
5,200.0,-123.40096142419952
6,200.0,-199.86934074704536
7,200.0,-133.08881633372664
8,200.0,-159.03941612414704
9,200.0,-152.84543033861905
10,200.0,-165.70738173663554
11,200.0,-131.4856414600524
12,200.0,-121.4814609563238
13,200.0,-122.68354297157575
14,200.0,-145.45240492348935
15,200.0,-179.29043303231668
16,200.0,-173.19715470496777
17,200.0,-158.61811401592095
18,200.0,-169.01610589954942
19,200.0,-143.19418837642553
20,200.0,-89.53563758254279
21,200.0,-177.62823643575314
22,200.0,-134.29925998733893
23,200.0,-109.73344559426342
24,200.0,-146.04552928701304
25,200.0,-121.8799777012315
26,200.0,-174.42595664433276
27,200.0,-179.2650710035643
28,200.0,-141.58909891417545
29,200.0,-109.11079670287968
30,200.0,-157.92002589220536
31,200.0,-144.90400116776382
32,200.0,-104.09788753228149
33,200.0,-127.2132476134924
34,200.0,-183.06802452639312
35,200.0,-169.7270853667613
36,200.0,-140.12685479290775
37,200.0,-144.17330212324774
38,200.0,-159.3686173474397
39,200.0,-229.7535803585732
40,200.0,-178.8092546435358
41,200.0,-107.38839611590022
42,200.0,-120.33533328883459
43,200.0,-161.99278315812805
44,200.0,-143.78967042646565
45,200.0,-153.7804691943273
46,200.0,-109.6211517529263
47,200.0,-167.271472183105
48,200.0,-150.5717990523996
49,200.0,-129.87878146845287
50,200.0,-148.90502058559775
51,200.0,-121.06538267721791
52,200.0,-138.8006646457096
53,200.0,-168.09717447113445
54,200.0,-159.14009650657786
55,200.0,-199.98048923534546
56,200.0,-160.7892776160004
57,200.0,-157.13549304076787
58,200.0,-189.3514818456202
59,200.0,-177.05189597542696
60,200.0,-128.5482175342545
61,200.0,-113.7892892648867
62,200.0,-144.92949327168577
63,200.0,-157.28272146553584
64,200.0,-169.4797759204368
65,200.0,-124.28965789711052
66,200.0,-147.1332358921434
67,200.0,-158.86096459378402
68,200.0,-147.19253268138695
69,200.0,-106.85117292741927
70,200.0,-143.05573767917926
71,200.0,-120.64832350169816
72,200.0,-120.27218076217957
73,200.0,-154.4776024154615
74,200.0,-118.93920743865456
75,200.0,-109.61914028174002
76,200.0,-77.19442548605961
77,200.0,-142.66380239828703
78,200.0,-130.05100202161367
79,200.0,-130.76204960749772
80,200.0,-152.44095376146922
81,200.0,-156.6599855713964
82,200.0,-121.85419613795406
83,200.0,-147.62449511012352
84,200.0,-114.78662585533593
85,200.0,-130.31598874021373
86,200.0,-158.41235048125256
87,200.0,-169.55376833086854
88,200.0,-122.14307527665763
89,200.0,-166.37493406494318
90,200.0,-177.0590377947209
91,200.0,-121.93711668445864
92,200.0,-141.31251490721462
93,200.0,-142.61045138037892
94,200.0,-151.0831556487011
95,200.0,-137.99291691209802
96,200.0,-165.80666460941512
97,200.0,-179.33998335698286
98,200.0,-180.70963180649736
99,200.0,-183.44379354729728
100,200.0,-124.56041702554776
