epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,1000,200.0,-1292.0455858315775,200.0,-1262.8969798122332,0:01:34
2,2000,200.0,-1428.2874073583548,200.0,-1426.0361774171602,0:12:21
3,3000,200.0,-1110.7857812587717,200.0,-724.427879993825,0:16:00
4,4000,200.0,-551.7554464895513,200.0,-165.46447733167426,0:17:43
5,5000,200.0,-124.33293518155283,200.0,-134.18422235220237,0:18:41
6,6000,200.0,-123.30468899647185,200.0,-179.95836474190438,0:19:15
7,7000,200.0,-395.43070088330194,200.0,-110.62625899846266,0:19:36
8,8000,200.0,-121.48223029053035,200.0,-148.19429296691516,0:19:47
9,9000,200.0,-164.6623870555641,200.0,-121.56863861132535,0:19:53
10,10000,200.0,-166.13227164575895,200.0,-139.31443747277746,0:19:55
11,11000,200.0,-171.03287158329326,200.0,-133.1744228805041,0:19:54
12,12000,200.0,-94.46656009074289,200.0,-176.53530084270932,0:19:50
13,13000,200.0,-156.48767800506025,200.0,-162.75382413459482,0:19:46
14,14000,200.0,-137.6027897933704,200.0,-152.1222335821235,0:19:39
15,15000,200.0,-157.58688689149656,200.0,-183.2429568597076,0:19:31
16,16000,200.0,-166.70637342146716,200.0,-156.54206121762192,0:19:22
17,17000,200.0,-159.79455955624482,200.0,-154.84617235647852,0:19:13
18,18000,200.0,-166.41825721501442,200.0,-155.54761561181223,0:19:04
19,19000,200.0,-143.19137003537054,200.0,-130.6938737273183,0:18:53
20,20000,200.0,-190.6507393799268,200.0,-199.61760670921052,0:18:43
21,21000,200.0,-73.7301556934854,200.0,-169.1243170310917,0:18:32
22,22000,200.0,-142.82021420371564,200.0,-106.27839917015694,0:18:22
23,23000,200.0,-143.06478239254034,200.0,-104.8151613695803,0:18:10
24,24000,200.0,-192.45435086264368,200.0,-166.97499086492437,0:17:58
25,25000,200.0,-145.5043267792083,200.0,-153.96408767799693,0:17:46
26,26000,200.0,-142.76815921843723,200.0,-130.51286551751954,0:17:33
27,27000,200.0,-144.40394654123048,200.0,-153.7420050400155,0:17:21
28,28000,200.0,-190.88380372344375,200.0,-168.09806097360928,0:17:08
29,29000,200.0,-74.1172737904059,200.0,-174.0487973038169,0:16:56
30,30000,200.0,-142.78870016133175,200.0,-143.77728954762617,0:16:43
31,31000,200.0,-141.9181056391643,200.0,-175.87216556476594,0:16:36
32,32000,200.0,-141.2874201183394,200.0,-141.7545797686281,0:16:30
33,33000,200.0,-118.4378525200699,200.0,-145.6164682459849,0:16:18
34,34000,200.0,-146.1834578850963,200.0,-140.77441189918133,0:16:04
35,35000,200.0,-98.31645175848836,200.0,-145.11679234021165,0:15:52
36,36000,200.0,-166.63043075059394,200.0,-135.3132443331396,0:15:37
37,37000,200.0,-142.06032684022756,200.0,-141.0488162395072,0:15:23
38,38000,200.0,-144.3968967053881,200.0,-156.7752075157446,0:15:09
39,39000,200.0,-210.27166652162495,200.0,-154.44763703379718,0:14:55
40,40000,200.0,-162.8369398348321,200.0,-109.46799621877062,0:14:40
41,41000,200.0,-146.24865501940724,200.0,-137.08577705763827,0:14:26
42,42000,200.0,-120.9234886127424,200.0,-152.96315797917083,0:14:12
43,43000,200.0,-143.0179887876427,200.0,-131.04463772123,0:13:58
44,44000,200.0,-118.19436347010871,200.0,-153.8042347401102,0:13:44
45,45000,200.0,-119.2437852645866,200.0,-184.09196216136053,0:13:29
46,46000,200.0,-144.10416437525353,200.0,-164.4005110304048,0:13:15
47,47000,200.0,-170.35930434639835,200.0,-121.51302542032752,0:13:01
48,48000,200.0,-205.4876415835362,200.0,-155.7658882916251,0:12:46
49,49000,200.0,-73.37223373221943,200.0,-105.93628374885934,0:12:32
50,50000,200.0,-215.35901110845572,200.0,-129.26643610057093,0:12:18
51,51000,200.0,-122.57375678310152,200.0,-107.43286211466636,0:12:03
52,52000,200.0,-142.65026630319633,200.0,-108.20035314605032,0:11:48
53,53000,200.0,-122.33055036763884,200.0,-130.79181738932613,0:11:34
54,54000,200.0,-121.33816747369667,200.0,-105.0241979636321,0:11:19
55,55000,200.0,-117.63099118842612,200.0,-95.87024514089464,0:11:05
56,56000,200.0,-95.19173736017358,200.0,-116.32210068781296,0:10:50
57,57000,200.0,-119.11474817729747,200.0,-129.92073793697512,0:10:36
58,58000,200.0,-193.31079042482264,200.0,-132.1890216732223,0:10:21
59,59000,200.0,-169.83168249190243,200.0,-119.22737004992575,0:10:06
60,60000,200.0,-148.83467718143294,200.0,-164.33378346015786,0:09:52
61,61000,200.0,-144.02264210173215,200.0,-93.72933187614635,0:09:37
62,62000,200.0,-124.77344217167645,200.0,-108.47105358531118,0:09:23
63,63000,200.0,-187.28858964065452,200.0,-130.8127480165009,0:09:08
64,64000,200.0,-189.8798223771167,200.0,-140.78631000660295,0:08:54
65,65000,200.0,-98.56707825115384,200.0,-139.95232897505036,0:08:39
66,66000,200.0,-159.6702005536671,200.0,-144.25553795293422,0:08:24
67,67000,200.0,-118.19472044930963,200.0,-130.70297796843604,0:08:10
68,68000,200.0,-159.76308730099421,200.0,-141.5715788528758,0:07:55
