epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,200.0,-1145.034478810928,200.0,-1140.7785827622572,0:01:13
2,200.0,-1434.494440371267,200.0,-1408.3954591138195,0:08:28
3,200.0,-900.1028205545633,200.0,-630.4412376815909,0:10:34
4,200.0,-290.1499179325331,200.0,-312.55953378813786,0:11:43
5,200.0,-204.01645864727777,200.0,-166.8337836094381,0:12:29
6,200.0,-152.33872789261082,200.0,-133.93608835935126,0:13:09
7,200.0,-125.81739313155197,200.0,-149.49045760824637,0:13:43
8,200.0,-164.37866392140518,200.0,-122.58856160492078,0:13:53
9,200.0,-173.8368216949407,200.0,-157.53372356168538,0:13:49
10,200.0,-148.36989564648172,200.0,-167.2321517887543,0:13:49
11,200.0,-142.83040102583487,200.0,-122.39571460727173,0:13:43
12,200.0,-51.87512672361278,200.0,-192.1138269572236,0:13:43
13,200.0,-168.62158831796233,200.0,-187.2806233488726,0:14:14
14,200.0,-121.48183479715098,200.0,-137.33959603382,0:14:05
15,200.0,-180.91194590722003,200.0,-152.6402749233277,0:13:58
16,200.0,-215.03261498834337,200.0,-157.4361831295075,0:13:48
17,200.0,-119.96062146810387,200.0,-143.0623227417162,0:13:38
18,200.0,-235.57488793310122,200.0,-118.55807446354781,0:13:36
19,200.0,-191.95879115281951,200.0,-142.0713558038854,0:13:32
20,200.0,-166.73931081797707,200.0,-162.79148059921613,0:13:24
21,200.0,-96.25216483671042,200.0,-119.48594383432007,0:13:21
22,200.0,-168.38597434080515,200.0,-135.75210777478134,0:13:20
23,200.0,-188.43825341819138,200.0,-170.304290360986,0:13:27
24,200.0,-145.51965411210165,200.0,-124.14544932883273,0:13:17
25,200.0,-102.70351722276091,200.0,-121.74115779556135,0:13:05
26,200.0,-170.7165186061607,200.0,-121.39265209775381,0:12:53
27,200.0,-118.35771352848738,200.0,-147.99039585724367,0:12:42
28,200.0,-120.03435424886698,200.0,-137.0992810422884,0:12:31
29,200.0,-170.6391941811093,200.0,-132.8265474656991,0:12:21
