epoch,test_mean_ep_len,test_mean_ep_ret,time_left
1,200.0,-1282.4324025848662,0:01:10
2,200.0,-1450.9075667309658,0:08:34
3,200.0,-825.6859098423149,0:11:04
4,200.0,-457.21424583242543,0:12:15
5,200.0,-124.65502026462244,0:12:54
6,200.0,-69.0158793483557,0:13:16
7,200.0,-153.80860797182035,0:13:30
8,200.0,-162.83176461405438,0:13:38
9,200.0,-201.9084462217707,0:13:42
10,200.0,-141.63398247370105,0:13:43
11,200.0,-132.50380511954052,0:13:42
12,200.0,-176.64928729410198,0:13:39
13,200.0,-132.26754817398268,0:13:35
14,200.0,-156.92563397913736,0:13:31
15,200.0,-119.67940844834666,0:13:26
16,200.0,-159.7245888120658,0:13:20
17,200.0,-132.11169280630855,0:13:13
18,200.0,-120.00393272273705,0:13:07
19,200.0,-168.2064359537531,0:13:00
20,200.0,-147.71863872792892,0:12:53
21,200.0,-145.27314656272338,0:12:45
22,200.0,-159.9500167814067,0:12:38
23,200.0,-148.12562452001217,0:12:31
24,200.0,-151.6676946071104,0:12:23
25,200.0,-160.05101861493597,0:12:15
26,200.0,-110.45468843662304,0:12:06
27,200.0,-170.73026116323211,0:11:57
28,200.0,-171.55730617578962,0:11:49
29,200.0,-134.1828331528523,0:11:40
30,200.0,-203.07903608408975,0:11:31
31,200.0,-113.85910163605112,0:11:22
32,200.0,-155.06533281411225,0:11:13
33,200.0,-112.98267724977686,0:11:04
34,200.0,-181.25910565630286,0:10:55
35,200.0,-177.68916202513034,0:10:46
36,200.0,-151.31523304265565,0:10:36
37,200.0,-101.61486453383665,0:10:27
38,200.0,-157.344806154119,0:10:18
39,200.0,-136.78555158722574,0:10:09
40,200.0,-166.8721270923898,0:09:59
41,200.0,-163.3029066330272,0:09:50
42,200.0,-178.48675802890213,0:09:40
43,200.0,-147.8564267572105,0:09:31
44,200.0,-149.57058119219423,0:09:21
45,200.0,-123.47652186190291,0:09:12
46,200.0,-162.17839386372748,0:09:02
47,200.0,-137.03038260493736,0:08:52
48,200.0,-137.49623484467523,0:08:43
49,200.0,-173.51799908900108,0:08:33
50,200.0,-126.23002004023097,0:08:23
51,200.0,-161.89872930462764,0:08:13
52,200.0,-147.27055715054186,0:08:04
53,200.0,-88.33822949692978,0:07:54
54,200.0,-191.30222474889746,0:07:44
55,200.0,-182.854659447301,0:07:34
56,200.0,-140.64504391629504,0:07:25
57,200.0,-127.02119606629853,0:07:15
58,200.0,-138.43585111019274,0:07:05
59,200.0,-136.12375145244232,0:06:55
60,200.0,-188.74508323900625,0:06:45
61,200.0,-118.0357566907409,0:06:36
62,200.0,-115.387687317613,0:06:26
63,200.0,-187.41199800245363,0:06:16
64,200.0,-143.5359576668385,0:06:06
65,200.0,-140.57754347345593,0:05:56
66,200.0,-137.96307107314811,0:05:47
67,200.0,-158.11144209691426,0:05:37
68,200.0,-136.09670591473483,0:05:27
69,200.0,-137.03997010162766,0:05:17
70,200.0,-101.57256888988597,0:05:07
71,200.0,-159.3374018113181,0:04:57
72,200.0,-146.67143818537483,0:04:47
73,200.0,-98.49877442091959,0:04:37
74,200.0,-161.88961347851642,0:04:28
75,200.0,-180.26707614714562,0:04:18
76,200.0,-147.34299374795165,0:04:08
77,200.0,-165.5062299320786,0:03:58
78,200.0,-156.30520260099055,0:03:47
79,200.0,-159.26870781885503,0:03:37
80,200.0,-152.1096864982713,0:03:27
81,200.0,-149.44318891885877,0:03:17
82,200.0,-146.6329070006654,0:03:07
83,200.0,-124.43040140218277,0:02:57
84,200.0,-123.67219047845262,0:02:46
85,200.0,-141.41155457356513,0:02:36
86,200.0,-137.83540204979244,0:02:26
87,200.0,-147.8433018965541,0:02:16
88,200.0,-91.1395404932365,0:02:05
89,200.0,-151.4616356327204,0:01:55
90,200.0,-86.87618396543196,0:01:45
91,200.0,-124.66531872839926,0:01:34
92,200.0,-138.6352642751085,0:01:24
93,200.0,-179.0986493897488,0:01:13
94,200.0,-144.97056426224452,0:01:03
95,200.0,-183.72696254828952,0:00:52
96,200.0,-133.20574573468087,0:00:42
97,200.0,-187.35938790924894,0:00:31
98,200.0,-157.35236080254518,0:00:21
99,200.0,-160.7584048766704,0:00:10
100,200.0,-161.8560256091004,0:00:00
