epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1369.9095439765392
2,200.0,-1385.9077216067633
3,200.0,-964.7777864634154
4,200.0,-256.14872835212407
5,200.0,-152.12012868400151
6,200.0,-198.91090132885333
7,200.0,-146.04955169304782
8,200.0,-186.29680893332775
9,200.0,-107.27351164590257
10,200.0,-146.61984678579503
11,200.0,-197.69593925837086
12,200.0,-128.99010128818549
13,200.0,-134.27405437147485
14,200.0,-151.24125363097812
15,200.0,-165.25929959308309
16,200.0,-137.43115589882655
17,200.0,-178.3314436254288
18,200.0,-197.14834694492492
19,200.0,-215.55094058903654
20,200.0,-112.6413924155866
21,200.0,-184.52357410481653
22,200.0,-139.70940667524903
23,200.0,-171.3722785567066
24,200.0,-101.41613532312998
25,200.0,-146.25449716582472
26,200.0,-121.25860728970181
27,200.0,-158.6544657805066
28,200.0,-124.20968345850588
29,200.0,-137.2125326341514
30,200.0,-147.74309546240178
31,200.0,-194.31948923153737
32,200.0,-136.743168901924
33,200.0,-159.5472098902492
34,200.0,-160.55839088700594
35,200.0,-132.91462871294965
36,200.0,-157.5797480186316
37,200.0,-134.96521207865462
38,200.0,-136.58946746312495
39,200.0,-105.08726846463409
40,200.0,-165.84835633419428
41,200.0,-162.32505553995117
42,200.0,-132.60401676167993
43,200.0,-130.36948617385534
44,200.0,-165.4244261964993
45,200.0,-110.34180640687637
46,200.0,-156.44488908322413
47,200.0,-123.4730102915635
48,200.0,-135.53821490586438
49,200.0,-171.22290546687503
50,200.0,-146.56696536637614
51,200.0,-154.52316990475538
52,200.0,-149.73096782435042
53,200.0,-174.36868206969402
54,200.0,-187.92402841126892
55,200.0,-126.44569365609057
56,200.0,-116.10094465440436
57,200.0,-139.7770663080368
58,200.0,-162.75300964412529
59,200.0,-135.21321605530954
60,200.0,-82.39704984154079
61,200.0,-172.48476972386706
62,200.0,-145.67736052750246
