epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,15.317460317460318,15.317460317460318,16.0,16.0,0:00:36
2,32.064516129032256,32.064516129032256,291.0,291.0,0:35:06
3,192.4,192.4,178.0,178.0,0:47:14
4,181.2,181.2,125.0,125.0,0:53:17
5,206.0,206.0,263.0,263.0,0:56:50
6,221.8,221.8,166.0,166.0,0:59:08
7,157.16666666666666,157.16666666666666,155.0,155.0,1:00:44
8,172.16666666666666,172.16666666666666,116.0,116.0,1:01:49
9,205.0,205.0,236.0,236.0,1:02:41
10,245.0,245.0,167.0,167.0,1:03:19
11,309.3333333333333,309.3333333333333,204.0,204.0,1:03:47
12,215.25,215.25,225.0,225.0,1:04:08
13,240.4,240.4,301.0,301.0,1:04:25
14,243.75,243.75,209.0,209.0,1:04:36
15,254.75,254.75,454.0,454.0,1:04:46
16,241.66666666666666,241.66666666666666,560.0,560.0,1:04:53
17,250.6,250.6,524.0,524.0,1:04:58
18,235.0,235.0,174.0,174.0,1:04:59
19,406.3333333333333,406.3333333333333,1000.0,1000.0,1:05:02
20,219.66666666666666,219.66666666666666,1000.0,1000.0,1:05:03
21,663.5,663.5,1000.0,1000.0,1:05:03
22,416.0,416.0,1000.0,1000.0,1:05:02
23,1000.0,1000.0,1000.0,1000.0,1:05:00
24,1000.0,1000.0,1000.0,1000.0,1:04:56
25,1000.0,1000.0,1000.0,1000.0,1:04:53
26,1000.0,1000.0,1000.0,1000.0,1:04:48
27,1000.0,1000.0,1000.0,1000.0,1:04:42
28,423.0,423.0,1000.0,1000.0,1:04:37
29,627.6666666666666,627.6666666666666,1000.0,1000.0,1:04:31
30,384.0,384.0,1000.0,1000.0,1:04:24
31,537.6666666666666,537.6666666666666,1000.0,1000.0,1:04:17
32,609.0,609.0,1000.0,1000.0,1:04:10
33,517.0,517.0,1000.0,1000.0,1:04:02
34,408.5,408.5,1000.0,1000.0,1:03:53
35,772.0,772.0,1000.0,1000.0,1:03:45
36,840.0,840.0,1000.0,1000.0,1:03:36
37,1000.0,1000.0,1000.0,1000.0,1:03:27
38,1000.0,1000.0,1000.0,1000.0,1:03:18
39,1000.0,1000.0,1000.0,1000.0,1:03:09
40,1000.0,1000.0,1000.0,1000.0,1:02:59
41,1000.0,1000.0,1000.0,1000.0,1:02:49
42,1000.0,1000.0,1000.0,1000.0,1:02:39
43,1000.0,1000.0,1000.0,1000.0,1:02:28
44,1000.0,1000.0,1000.0,1000.0,1:02:18
45,1000.0,1000.0,1000.0,1000.0,1:02:07
46,1000.0,1000.0,1000.0,1000.0,1:01:57
47,1000.0,1000.0,1000.0,1000.0,1:01:45
48,1000.0,1000.0,1000.0,1000.0,1:01:34
49,1000.0,1000.0,1000.0,1000.0,1:01:23
50,1000.0,1000.0,1000.0,1000.0,1:01:12
51,1000.0,1000.0,1000.0,1000.0,1:01:00
52,1000.0,1000.0,1000.0,1000.0,1:00:49
53,891.0,891.0,1000.0,1000.0,1:00:37
54,1000.0,1000.0,1000.0,1000.0,1:00:25
55,1000.0,1000.0,1000.0,1000.0,1:00:13
56,1000.0,1000.0,1000.0,1000.0,1:00:00
57,1000.0,1000.0,1000.0,1000.0,0:59:48
58,1000.0,1000.0,1000.0,1000.0,0:59:37
59,1000.0,1000.0,1000.0,1000.0,0:59:25
60,1000.0,1000.0,1000.0,1000.0,0:59:13
61,1000.0,1000.0,1000.0,1000.0,0:59:02
62,1000.0,1000.0,1000.0,1000.0,0:58:51
