epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,18.01818181818182,18.01818181818182,28.0,28.0,0:00:35
2,6.8,6.8,119.0,119.0,0:24:48
3,142.57142857142858,142.57142857142858,209.0,209.0,0:33:20
4,231.0,231.0,163.0,163.0,0:37:35
5,152.85714285714286,152.85714285714286,135.0,135.0,0:40:01
6,131.57142857142858,131.57142857142858,124.0,124.0,0:41:39
7,136.875,136.875,155.0,155.0,0:42:46
8,128.57142857142858,128.57142857142858,124.0,124.0,0:43:34
9,134.25,134.25,128.0,128.0,0:44:11
10,133.28571428571428,133.28571428571428,114.0,114.0,0:44:37
11,143.0,143.0,183.0,183.0,0:44:57
12,144.57142857142858,144.57142857142858,150.0,150.0,0:45:13
13,134.75,134.75,123.0,123.0,0:45:24
14,134.42857142857142,134.42857142857142,123.0,123.0,0:45:31
15,139.0,139.0,134.0,134.0,0:45:37
16,138.85714285714286,138.85714285714286,127.0,127.0,0:45:41
17,143.85714285714286,143.85714285714286,143.0,143.0,0:45:44
18,139.875,139.875,154.0,154.0,0:45:46
19,135.85714285714286,135.85714285714286,137.0,137.0,0:45:47
20,138.57142857142858,138.57142857142858,132.0,132.0,0:45:46
21,136.85714285714286,136.85714285714286,159.0,159.0,0:45:45
22,144.0,144.0,131.0,131.0,0:45:42
23,137.5,137.5,162.0,162.0,0:45:39
24,144.57142857142858,144.57142857142858,141.0,141.0,0:45:36
25,145.83333333333334,145.83333333333334,145.0,145.0,0:45:33
26,149.42857142857142,149.42857142857142,177.0,177.0,0:45:29
27,153.66666666666666,153.66666666666666,193.0,193.0,0:45:24
28,185.16666666666666,185.16666666666666,192.0,192.0,0:45:20
29,199.6,199.6,231.0,231.0,0:45:14
30,170.16666666666666,170.16666666666666,155.0,155.0,0:45:09
31,158.66666666666666,158.66666666666666,247.0,247.0,0:45:03
32,198.4,198.4,207.0,207.0,0:44:56
33,169.33333333333334,169.33333333333334,171.0,171.0,0:44:48
34,241.75,241.75,248.0,248.0,0:44:41
35,324.3333333333333,324.3333333333333,226.0,226.0,0:44:34
