epoch,test_mean_ep_len,test_mean_ep_ret
1,19.7,19.7
2,5.7,5.7
3,117.8,117.8
4,149.3,149.3
5,140.7,140.7
6,184.6,184.6
7,174.6,174.6
8,200.0,200.0
9,166.1,166.1
10,155.9,155.9
11,200.0,200.0
12,200.0,200.0
13,200.0,200.0
14,189.5,189.5
15,200.0,200.0
16,200.0,200.0
17,137.0,137.0
18,170.8,170.8
19,161.4,161.4
20,138.8,138.8
21,180.8,180.8
22,200.0,200.0
23,200.0,200.0
24,200.0,200.0
25,200.0,200.0
26,200.0,200.0
27,200.0,200.0
28,200.0,200.0
29,200.0,200.0
30,200.0,200.0
31,200.0,200.0
32,174.6,174.6
33,198.1,198.1
34,155.6,155.6
35,185.5,185.5
36,177.4,177.4
37,200.0,200.0
38,172.9,172.9
39,196.5,196.5
40,200.0,200.0
41,197.1,197.1
42,200.0,200.0
43,176.4,176.4
44,194.7,194.7
45,200.0,200.0
46,200.0,200.0
47,200.0,200.0
48,200.0,200.0
49,200.0,200.0
50,200.0,200.0
51,200.0,200.0
52,200.0,200.0
53,200.0,200.0
54,200.0,200.0
55,200.0,200.0
56,200.0,200.0
57,200.0,200.0
58,200.0,200.0
59,200.0,200.0
60,200.0,200.0
61,200.0,200.0
62,200.0,200.0
63,200.0,200.0
64,200.0,200.0
65,200.0,200.0
66,200.0,200.0
67,200.0,200.0
68,200.0,200.0
69,200.0,200.0
70,200.0,200.0
71,200.0,200.0
72,200.0,200.0
73,200.0,200.0
74,200.0,200.0
75,200.0,200.0
76,189.7,189.7
77,200.0,200.0
78,200.0,200.0
79,200.0,200.0
80,200.0,200.0
81,200.0,200.0
82,172.7,172.7
83,198.4,198.4
84,140.4,140.4
85,109.5,109.5
86,24.2,24.2
87,21.9,21.9
88,200.0,200.0
89,186.8,186.8
90,134.7,134.7
91,200.0,200.0
92,200.0,200.0
93,200.0,200.0
94,200.0,200.0
95,200.0,200.0
96,200.0,200.0
97,200.0,200.0
98,200.0,200.0
99,200.0,200.0
100,200.0,200.0
