epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,17.087719298245613,17.087719298245613,18.7,18.7,0:00:18
2,25.852941176470587,25.852941176470587,192.1,192.1,0:13:31
3,163.57142857142858,163.57142857142858,193.6,193.6,0:17:07
4,172.0,172.0,200.0,200.0,0:18:24
5,186.16666666666666,186.16666666666666,200.0,200.0,0:19:40
6,196.6,196.6,200.0,200.0,0:21:13
7,191.6,191.6,200.0,200.0,0:21:58
8,192.0,192.0,199.6,199.6,0:22:01
9,185.66666666666666,185.66666666666666,200.0,200.0,0:21:47
10,186.0,186.0,200.0,200.0,0:21:47
11,183.4,183.4,189.9,189.9,0:21:48
12,174.5,174.5,158.7,158.7,0:21:35
13,167.5,167.5,181.1,181.1,0:21:28
14,158.57142857142858,158.57142857142858,152.7,152.7,0:21:18
15,143.33333333333334,143.33333333333334,153.2,153.2,0:20:59
16,158.14285714285714,158.14285714285714,172.9,172.9,0:20:41
17,162.66666666666666,162.66666666666666,172.0,172.0,0:20:39
18,167.16666666666666,167.16666666666666,168.2,168.2,0:20:24
19,173.83333333333334,173.83333333333334,194.2,194.2,0:20:06
20,181.8,181.8,200.0,200.0,0:19:50
21,194.6,194.6,200.0,200.0,0:19:36
22,200.0,200.0,200.0,200.0,0:19:19
23,200.0,200.0,200.0,200.0,0:19:02
24,200.0,200.0,200.0,200.0,0:18:46
25,200.0,200.0,200.0,200.0,0:18:30
26,200.0,200.0,200.0,200.0,0:18:14
27,200.0,200.0,200.0,200.0,0:17:58
28,200.0,200.0,200.0,200.0,0:17:42
29,200.0,200.0,200.0,200.0,0:17:27
30,200.0,200.0,200.0,200.0,0:17:11
31,200.0,200.0,200.0,200.0,0:16:55
32,200.0,200.0,200.0,200.0,0:16:40
33,200.0,200.0,200.0,200.0,0:16:28
34,200.0,200.0,200.0,200.0,0:16:13
35,200.0,200.0,200.0,200.0,0:15:58
36,200.0,200.0,200.0,200.0,0:15:43
37,200.0,200.0,200.0,200.0,0:15:27
38,200.0,200.0,200.0,200.0,0:15:12
39,200.0,200.0,200.0,200.0,0:14:57
40,200.0,200.0,200.0,200.0,0:14:42
41,200.0,200.0,200.0,200.0,0:14:27
42,200.0,200.0,200.0,200.0,0:14:11
43,200.0,200.0,200.0,200.0,0:13:56
44,200.0,200.0,200.0,200.0,0:13:41
45,200.0,200.0,200.0,200.0,0:13:27
46,200.0,200.0,200.0,200.0,0:13:12
47,200.0,200.0,200.0,200.0,0:12:57
48,200.0,200.0,200.0,200.0,0:12:42
49,200.0,200.0,200.0,200.0,0:12:27
50,200.0,200.0,200.0,200.0,0:12:13
51,200.0,200.0,200.0,200.0,0:11:58
52,200.0,200.0,200.0,200.0,0:11:43
53,200.0,200.0,200.0,200.0,0:11:28
54,200.0,200.0,200.0,200.0,0:11:14
55,200.0,200.0,200.0,200.0,0:11:01
56,200.0,200.0,200.0,200.0,0:10:46
57,200.0,200.0,200.0,200.0,0:10:31
58,200.0,200.0,200.0,200.0,0:10:17
59,200.0,200.0,200.0,200.0,0:10:02
60,200.0,200.0,200.0,200.0,0:09:48
61,200.0,200.0,200.0,200.0,0:09:33
62,200.0,200.0,200.0,200.0,0:09:19
63,200.0,200.0,200.0,200.0,0:09:04
64,200.0,200.0,200.0,200.0,0:08:50
65,200.0,200.0,200.0,200.0,0:08:35
66,200.0,200.0,200.0,200.0,0:08:21
67,200.0,200.0,200.0,200.0,0:08:07
68,200.0,200.0,200.0,200.0,0:07:52
69,200.0,200.0,200.0,200.0,0:07:38
70,200.0,200.0,200.0,200.0,0:07:23
71,200.0,200.0,200.0,200.0,0:07:09
72,200.0,200.0,200.0,200.0,0:06:54
73,200.0,200.0,200.0,200.0,0:06:40
74,200.0,200.0,200.0,200.0,0:06:25
75,200.0,200.0,200.0,200.0,0:06:11
76,200.0,200.0,200.0,200.0,0:05:56
77,200.0,200.0,200.0,200.0,0:05:42
78,200.0,200.0,200.0,200.0,0:05:27
79,200.0,200.0,200.0,200.0,0:05:12
80,200.0,200.0,200.0,200.0,0:04:58
81,200.0,200.0,200.0,200.0,0:04:43
82,200.0,200.0,200.0,200.0,0:04:28
83,200.0,200.0,200.0,200.0,0:04:14
84,200.0,200.0,200.0,200.0,0:03:59
85,200.0,200.0,200.0,200.0,0:03:44
86,200.0,200.0,200.0,200.0,0:03:29
87,200.0,200.0,200.0,200.0,0:03:14
88,200.0,200.0,200.0,200.0,0:03:00
89,200.0,200.0,200.0,200.0,0:02:45
90,200.0,200.0,200.0,200.0,0:02:30
91,200.0,200.0,200.0,200.0,0:02:15
92,200.0,200.0,200.0,200.0,0:02:00
93,200.0,200.0,200.0,200.0,0:01:45
94,200.0,200.0,200.0,200.0,0:01:30
95,200.0,200.0,200.0,200.0,0:01:15
96,200.0,200.0,200.0,200.0,0:01:00
97,200.0,200.0,200.0,200.0,0:00:45
98,171.0,171.0,200.0,200.0,0:00:30
99,200.0,200.0,200.0,200.0,0:00:15
100,200.0,200.0,200.0,200.0,0:00:00
