epoch,test_mean_ep_len,test_mean_ep_ret
1,15.9,15.9
2,5.9,5.9
3,122.5,122.5
4,170.7,170.7
5,141.0,141.0
6,148.3,148.3
7,156.9,156.9
8,157.0,157.0
9,198.2,198.2
10,190.0,190.0
11,186.6,186.6
12,176.5,176.5
13,200.0,200.0
14,200.0,200.0
15,200.0,200.0
16,200.0,200.0
17,200.0,200.0
18,200.0,200.0
19,193.4,193.4
20,200.0,200.0
21,200.0,200.0
22,200.0,200.0
23,196.8,196.8
24,142.6,142.6
25,140.8,140.8
26,150.1,150.1
27,181.1,181.1
28,200.0,200.0
29,200.0,200.0
30,200.0,200.0
31,200.0,200.0
32,200.0,200.0
33,200.0,200.0
34,200.0,200.0
35,200.0,200.0
36,200.0,200.0
37,200.0,200.0
38,200.0,200.0
39,200.0,200.0
40,200.0,200.0
41,200.0,200.0
42,186.0,186.0
43,200.0,200.0
44,200.0,200.0
45,200.0,200.0
46,200.0,200.0
47,200.0,200.0
48,200.0,200.0
49,200.0,200.0
50,200.0,200.0
51,200.0,200.0
52,200.0,200.0
53,200.0,200.0
54,200.0,200.0
55,200.0,200.0
56,200.0,200.0
57,200.0,200.0
58,200.0,200.0
59,200.0,200.0
60,200.0,200.0
61,200.0,200.0
62,200.0,200.0
63,200.0,200.0
64,200.0,200.0
65,200.0,200.0
66,200.0,200.0
67,200.0,200.0
68,200.0,200.0
69,200.0,200.0
70,200.0,200.0
71,200.0,200.0
72,200.0,200.0
73,200.0,200.0
74,200.0,200.0
75,200.0,200.0
76,200.0,200.0
77,200.0,200.0
78,200.0,200.0
79,200.0,200.0
80,200.0,200.0
81,200.0,200.0
82,200.0,200.0
83,200.0,200.0
84,200.0,200.0
85,200.0,200.0
86,200.0,200.0
87,200.0,200.0
88,200.0,200.0
89,200.0,200.0
90,200.0,200.0
91,200.0,200.0
92,200.0,200.0
93,200.0,200.0
94,200.0,200.0
95,200.0,200.0
96,200.0,200.0
97,200.0,200.0
98,200.0,200.0
99,200.0,200.0
100,200.0,200.0
