Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-43.21964	84.044044	36.100937	-393.62878	999.38025	1.3683192	1000.8617	996.7667	140.60564	1000.0	9999	0.7222371	0.29883534	2.3103771	-0.26158383	0.72023946	0.31999698	2.6785998	-0.39847857	-5.3934937	0.5359026	-1.4313116	-10.50454	-1.7734042	1.222661	24.053073406219482
2	-37.03271	80.94793	59.50327	-270.6317	364.89386	254.95227	773.4521	31.431551	383.1154	640.8	19999	17.760195	11.50136	81.279816	-15.908599	17.760105	11.49793	76.994934	-15.770057	-3.3988779	2.059178	14.823865	-15.3390465	-18.924046	5.3243113	279.4898910522461
3	13.259366	84.75364	165.7019	-142.16449	363.2704	301.52676	806.59656	0.11075514	383.75	610.8	29999	38.361988	13.751226	97.17998	-41.088478	38.36255	13.747487	96.76492	-28.39322	-2.9613192	2.3785486	20.86187	-15.826209	-39.26457	7.7945232	527.3627367019653
4	53.170044	69.5342	191.88124	-100.33481	599.69073	242.46465	864.5839	157.11461	404.34616	829.6	39999	44.887096	12.572178	95.21219	-31.788311	44.88772	12.57339	95.88033	-32.612747	-3.2996511	2.252296	26.528849	-15.642128	-45.65255	6.9512234	741.5296518802643
5	120.22907	91.05607	273.57175	-2.1221645	673.8977	267.19382	985.6134	35.731125	479.61905	902.8	49999	50.140636	9.706475	89.61684	-31.71144	50.140953	9.703665	89.69525	-30.729883	-3.3633752	2.155461	29.818653	-16.301033	-50.88357	6.0508013	958.1525003910065
6	144.42491	129.49623	468.24792	4.289236	909.2726	162.77905	1034.4994	465.8296	509.15	1000.0	59999	55.5911	8.167828	93.93082	-53.912773	55.59159	8.168719	91.91572	-40.031624	-3.3334877	2.1473677	28.880856	-16.541574	-56.329556	6.004648	1176.4635400772095
7	168.52979	161.2985	780.8193	-8.922262	702.7084	397.6383	1165.9114	6.425614	474.2	743.3	69999	60.42713	7.5526767	97.90091	-37.66984	60.427666	7.549187	97.62421	-43.878426	-3.3183649	2.1308668	27.526896	-16.152672	-61.130867	6.165301	1406.1639332771301
8	297.72882	175.85873	591.36615	0.084780246	562.2265	471.8868	1536.4818	51.234154	616.9375	485.6	79999	64.54222	7.5746975	100.69372	-38.47456	64.54247	7.5753684	101.39385	-37.101173	-3.2624798	2.1312332	31.508316	-16.069765	-65.21192	6.547389	1635.0414071083069
9	243.62404	139.4834	449.7799	-5.559563	534.5719	372.2016	961.1385	35.872818	666.5625	532.7	89999	68.20083	7.7464437	106.27092	-65.565544	68.20092	7.742951	103.581955	-48.053154	-3.194343	2.2081683	32.43092	-16.676577	-68.87113	6.46558	1862.9709949493408
10	217.6567	164.20082	656.6969	38.053177	963.015	418.00427	1368.8274	97.66112	409.56522	820.1	99999	71.58197	8.055009	112.21876	-68.36452	71.58218	8.053209	111.29227	-88.75328	-3.1667113	2.2289379	33.720837	-14.474154	-72.235886	7.1658626	2091.2780425548553
